	Date	Time	Price	Level1	Level2	Level3	ValveState1	ValveState2	ValveState3	ESP_control1	ESP_control2	ESP_control3	ESP_command1	ESP_command2	ESP_command3	Nett_control	Nett_command1	Nett_command2	Nett_command3	Recommendation1	Recommendation2	Recommendation3
0	2021-04-27	06:54:18	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
1	2021-04-27	06:54:28	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
2	2021-04-27	06:55:29	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
3	2021-04-27	06:56:30	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
4	2021-04-27	06:57:31	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
5	2021-04-27	06:58:33	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
6	2021-04-27	06:59:34	80.37	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
7	2021-04-27	07:00:35	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
8	2021-04-27	07:01:36	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
9	2021-04-27	07:02:37	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
10	2021-04-27	07:03:37	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
11	2021-04-27	07:05:24	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
12	2021-04-27	07:06:25	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
13	2021-04-27	07:09:10	81.61	200	100	50	1	0	0	0	0	1	0	0	0	1	1	0	1	1.0	1.0	1.0
